Feature,Coefficient
Bias,-22513.679
LotFrontage,8.063
LotArea,0.711
OverallQual,6574.461
OverallCond,5835.106
YearBuilt,331.825
YearRemodAdd,101.976
MasVnrArea,21.681
BsmtFinSF1,19.066
BsmtFinSF2,12.688
BsmtUnfSF,1.286
TotalBsmtSF,20.07
1stFlrSF,5.439
2ndFlrSF,22.429
LowQualFinSF,-42.66
GrLivArea,38.822
BsmtFullBath,1572.325
BsmtHalfBath,-395.058
FullBath,3857.492
HalfBath,1673.675
BedroomAbvGr,-3242.149
KitchenAbvGr,-11297.414
TotRmsAbvGrd,1807.198
Fireplaces,6155.401
GarageYrBlt,-28.701
GarageCars,4053.906
GarageArea,18.776
WoodDeckSF,15.173
OpenPorchSF,1.165
EnclosedPorch,4.444
3SsnPorch,34.846
ScreenPorch,35.831
PoolArea,657.337
MiscVal,0.137
MoSold,-486.429
YrSold,-491.095
MSSubClass_120,-6420.29
MSSubClass_160,-3526.741
MSSubClass_180,-10051.125
MSSubClass_190,5257.73
MSSubClass_20,3343.35
MSSubClass_30,6315.364
MSSubClass_40,-1267.866
MSSubClass_45,-993.499
MSSubClass_50,1283.748
MSSubClass_60,7968.604
MSSubClass_70,10076.22
MSSubClass_75,-13687.154
MSSubClass_80,-7439.175
MSSubClass_85,-10670.973
MSSubClass_90,-2726.308
MSZoning_C (all),-26084.494
MSZoning_FV,8015.244
MSZoning_RH,-2511.076
MSZoning_RL,677.284
MSZoning_RM,-2635.078
Street_Grvl,-27538.185
Street_Pave,5000.073
Alley_Grvl,-6785.701
Alley_None,-8361.583
Alley_Pave,-7390.817
LotShape_IR1,-8761.345
LotShape_IR2,-3939.232
LotShape_IR3,-2837.356
LotShape_Reg,-7000.186
LandContour_Bnk,-6560.913
LandContour_HLS,1832.643
LandContour_Low,-16796.669
LandContour_Lvl,-1013.17
Utilities_AllPub,10755.27
Utilities_NoSeWa,-33293.381
LotConfig_Corner,-789.944
LotConfig_CulDSac,7242.008
LotConfig_FR2,-8321.424
LotConfig_FR3,-18109.922
LotConfig_Inside,-2558.841
LandSlope_Gtl,4134.046
LandSlope_Mod,11889.548
LandSlope_Sev,-38561.703
Neighborhood_Blmngtn,2708.123
Neighborhood_Blueste,11140.778
Neighborhood_BrDale,696.328
Neighborhood_BrkSide,-4626.117
Neighborhood_ClearCr,-12567.853
Neighborhood_CollgCr,-7917.342
Neighborhood_Crawfor,12915.766
Neighborhood_Edwards,-19528.306
Neighborhood_Gilbert,-9055.205
Neighborhood_IDOTRR,-10802.956
Neighborhood_MeadowV,-7036.686
Neighborhood_Mitchel,-18693.003
Neighborhood_NAmes,-14929.45
Neighborhood_NPkVill,16017.765
Neighborhood_NWAmes,-15368.224
Neighborhood_NoRidge,27025.667
Neighborhood_NridgHt,20399.105
Neighborhood_OldTown,-12918.231
Neighborhood_SWISU,-6812.978
Neighborhood_Sawyer,-8716.517
Neighborhood_SawyerW,-646.744
Neighborhood_Somerst,-13.297
Neighborhood_StoneBr,41612.539
Neighborhood_Timber,-7825.608
Neighborhood_Veenker,2404.337
Condition1_Artery,-8753.86
Condition1_Feedr,-1709.473
Condition1_Norm,7916.906
Condition1_PosA,2074.337
Condition1_PosN,6427.5
Condition1_RRAe,-24157.981
Condition1_RRAn,4605.083
Condition1_RRNe,-12662.936
Condition1_RRNn,3722.307
Condition2_Artery,43541.537
Condition2_Feedr,38381.781
Condition2_Norm,32442.764
Condition2_PosA,91607.082
Condition2_PosN,-195323.134
Condition2_RRAe,-93175.22
Condition2_RRAn,20413.783
Condition2_RRNn,39573.298
BldgType_1Fam,4994.027
BldgType_2fmCon,-9423.974
BldgType_Duplex,-2726.307
BldgType_Twnhs,-9932.236
BldgType_TwnhsE,-5449.632
HouseStyle_1.5Fin,-4274.252
HouseStyle_1.5Unf,9534.142
HouseStyle_1Story,-1006.796
HouseStyle_2.5Fin,-12506.826
HouseStyle_2.5Unf,-2926.609
HouseStyle_2Story,-17654.726
HouseStyle_SFoyer,1786.159
HouseStyle_SLvl,4510.792
RoofStyle_Flat,-30142.497
RoofStyle_Gable,-20649.107
RoofStyle_Gambrel,-18230.863
RoofStyle_Hip,-21043.229
RoofStyle_Mansard,-8882.07
RoofStyle_Shed,76409.658
RoofMatl_ClyTile,-531502.258
RoofMatl_CompShg,43381.185
RoofMatl_Membran,140593.464
RoofMatl_Metal,109013.991
RoofMatl_Roll,38396.897
RoofMatl_Tar&Grv,45218.722
RoofMatl_WdShake,34371.635
RoofMatl_WdShngl,97988.25
Exterior1st_AsbShng,6606.748
Exterior1st_AsphShn,-16382.638
Exterior1st_BrkComm,6535.982
Exterior1st_BrkFace,15875.778
Exterior1st_CBlock,-4975.244
Exterior1st_CemntBd,-5132.156
Exterior1st_HdBoard,-5228.042
Exterior1st_ImStucc,-11818.21
Exterior1st_MetalSd,2985.979
Exterior1st_Plywood,-6018.102
Exterior1st_Stone,8293.543
Exterior1st_Stucco,71.305
Exterior1st_VinylSd,-5319.38
Exterior1st_Wd Sdng,-5964.111
Exterior1st_WdShing,-2069.574
Exterior2nd_AsbShng,-4774.01
Exterior2nd_AsphShn,4974.037
Exterior2nd_Brk Cmn,-976.827
Exterior2nd_BrkFace,-2403.694
Exterior2nd_CBlock,-4975.244
Exterior2nd_CmentBd,7498.998
Exterior2nd_HdBoard,2114.866
Exterior2nd_ImStucc,9150.021
Exterior2nd_MetalSd,-1329.494
Exterior2nd_Other,-25487.519
Exterior2nd_Plywood,456.374
Exterior2nd_Stone,-16858.194
Exterior2nd_Stucco,-766.856
Exterior2nd_VinylSd,5892.184
Exterior2nd_Wd Sdng,5672.204
Exterior2nd_Wd Shng,-724.959
MasVnrType_BrkCmn,-10983.336
MasVnrType_BrkFace,-6576.011
MasVnrType_None,-3423.466
MasVnrType_Stone,-1555.305
ExterQual_Ex,7104.216
ExterQual_Fa,-2239.909
ExterQual_Gd,-13937.26
ExterQual_TA,-13465.176
ExterCond_Ex,-2890.141
ExterCond_Fa,-5265.352
ExterCond_Gd,-10244.603
ExterCond_Po,2990.405
ExterCond_TA,-7128.421
Foundation_BrkTil,-1408.797
Foundation_CBlock,2540.495
Foundation_PConc,3516.489
Foundation_Slab,-7396.875
Foundation_Stone,7207.322
Foundation_Wood,-26996.753
BsmtQual_Ex,3610.797
BsmtQual_Fa,-6912.939
BsmtQual_Gd,-14012.806
BsmtQual_None,4885.829
BsmtQual_TA,-10108.991
BsmtCond_Fa,-24819.914
BsmtCond_Gd,-23826.484
BsmtCond_None,4885.828
BsmtCond_Po,42375.888
BsmtCond_TA,-21153.439
BsmtExposure_Av,-3206.82
BsmtExposure_Gd,10849.548
BsmtExposure_Mn,-6817.208
BsmtExposure_No,-8561.084
BsmtExposure_None,-14802.564
BsmtFinType1_ALQ,-6002.668
BsmtFinType1_BLQ,-3038.218
BsmtFinType1_GLQ,-322.23
BsmtFinType1_LwQ,-9253.025
BsmtFinType1_None,4885.829
BsmtFinType1_Rec,-5855.823
BsmtFinType1_Unf,-2951.981
BsmtFinType2_ALQ,7753.612
BsmtFinType2_BLQ,-5261.37
BsmtFinType2_GLQ,4773.697
BsmtFinType2_LwQ,-5944.248
BsmtFinType2_None,-21778.797
BsmtFinType2_Rec,-2079.571
BsmtFinType2_Unf,-1.473
Heating_Floor,-7168.492
Heating_GasA,31.054
Heating_GasW,-3293.883
Heating_Grav,-8069.597
Heating_OthW,-16663.568
Heating_Wall,12626.376
HeatingQC_Ex,-3514.366
HeatingQC_Fa,-3638.454
HeatingQC_Gd,-7240.023
HeatingQC_Po,-1511.739
HeatingQC_TA,-6633.515
CentralAir_N,-10815.811
CentralAir_Y,-11722.278
Electrical_FuseA,3966.329
Electrical_FuseF,3348.072
Electrical_FuseP,-4885.204
Electrical_Mix,-42309.911
Electrical_None,15509.332
Electrical_SBrkr,1833.258
KitchenQual_Ex,10952.007
KitchenQual_Fa,-9031.905
KitchenQual_Gd,-12596.974
KitchenQual_TA,-11861.238
Functional_Maj1,-557.332
Functional_Maj2,-3140.419
Functional_Min1,5263.0
Functional_Min2,8286.265
Functional_Mod,-7006.802
Functional_Sev,-42607.803
Functional_Typ,17224.956
FireplaceQu_Ex,-7344.245
FireplaceQu_Fa,-9502.925
FireplaceQu_Gd,-5642.354
FireplaceQu_None,318.031
FireplaceQu_Po,4127.745
FireplaceQu_TA,-4494.371
GarageType_2Types,-20178.831
GarageType_Attchd,-568.552
GarageType_Basment,3432.576
GarageType_BuiltIn,-605.584
GarageType_CarPort,5256.17
GarageType_Detchd,2599.906
GarageType_None,-12473.781
GarageFinish_Fin,-2519.246
GarageFinish_None,-12473.78
GarageFinish_RFn,-4726.386
GarageFinish_Unf,-2818.696
GarageQual_Ex,104866.571
GarageQual_Fa,-28380.491
GarageQual_Gd,-24567.615
